"year","country","total_visitors"
2022,Syria,445
2022,Taiwan,23604
2022,Tajikistan,97
2022,Tanzania,225
2022,Thailand,16300
2022,Togo,29
2022,Tonga,73
2022,Tunisia,935
2022,Turkey,5859
2022,Turkmenistan,81
2022,Tuvalu,17
2022,Uganda,220
2022,Ukraine,836
2022,United Arab Emirates,2084
2022,United Kingdom,101034
2022,Uruguay,213
2022,Usa,505089
2022,Uzbekistan,495
2022,Vanuatu,208
2022,Vatican City State,27
2022,Venezuela,245
2022,Vietnam,38605
2022,Virgin Islands Us,13
2022,Wales,18
2022,Yemen,366
2022,Zambia,84
2022,Zimbabwe,215
2023,Afghanistan,11
2023,Aland Islands,80
2023,Albania,23
2023,Algeria,79
2023,American Samoa,25
2023,Andorra,5
2023,Angola,26
2023,Anguilla,10
2023,Antarctica,9
2023,Antigua And Barbuda,31
2023,Argentina,1809
2023,Armenia,23
2023,Aruba,103
2023,Australia,266551
2023,Austria,13180
2023,Azerbaijan,76
2023,Bahamas,112
2023,Bahrain,5886
2023,Bangladesh,4191
2023,Barbados,31
2023,Belarus,53
2023,Belgium,14459
2023,Belize,49
2023,Benin,39
2023,Bermuda,29
2023,Bhutan,21
2023,Bolivia,13
2023,Bonaire Sint Eustatius And Saba,22
2023,Bosnia And Herzegovina,135
2023,Botswana,166
2023,Brazil,4275
2023,British Indian Ocean Territory,20
2023,British Virgin Islands,32
2023,Brunei,6639
2023,Bulgaria,2152
2023,Burkina Faso,66
2023,Burundi,44
2023,Cabo Verde,14
2023,Cambodia,3999
2023,Canada,221920
2023,Cayman Islands,13
2023,Central African Republic,34
2023,Chad,33
2023,Chile,1547
2023,China,263836
2023,Christmas Island,5
2023,Cocos Keeling Islands,6
2023,Colombia,1843
2023,Comoros,12
2023,Congo Democratic Republic Of,10
2023,Congo Republic Of Cap Brazzaville,54
2023,Cook Islands,48
2023,Costa Rica,38
2023,Cote Divoire Ivory Coast,12
2023,Croatia,1334
2023,Cuba,9
2023,Curacao,33
2023,Cyprus,1332
2023,Czech Republic,5812
2023,Denmark,12294
2023,Djibouti,10
2023,Dominica,22
2023,Dominican Republic,18
2023,Ecuador,21
2023,Egypt,1354
2023,El Salvador,5
2023,Equatorial Guinea,20
2023,Eritrea,8
2023,Estonia,1243
2023,Eswatini,107
2023,Ethiopia,30
2023,Falkland Islands Malvinas,28
2023,Fiji,737
2023,Finland,4533
2023,France,51601
2023,French Guiana,27
2023,French Polynesia,114
2023,French Southern Territories,12
2023,Gabon,25
2023,Gambia,44
2023,Georgia,20
2023,Germany,74731
2023,Ghana,603
2023,Greece,3095
2023,Greenland,42
2023,Grenada,44
2023,Guadeloupe,30
2023,Guam,35501
2023,Guatemala,14
2023,Guernsey,18
2023,Guinea,63
2023,Guyana,28
2023,Haiti,30
2023,Honduras,7
2023,Hong Kong,80512
2023,Hungary,2319
2023,Iceland,1267
2023,India,70286
2023,Indonesia,53707
2023,Iran,1172
2023,Iraq,17
2023,Ireland,16379
2023,Israel,13334
2023,Italy,22496
2023,Jamaica,18
2023,Japan,305580
2023,Jersey,32
2023,Kazakhstan,1415
2023,Kenya,963
2023,Kiribati,71
2023,Kuwait,6915
2023,Kyrgyzstan,33
2023,Laos,988
2023,Latvia,1250
2023,Lebanon,603
2023,Lesotho,11
2023,Liberia,133
2023,Libya,89
2023,Liechtenstein,120
2023,Lithuania,1868
2023,Luxembourg,962
2023,Macau,4593
2023,Macedonia,92
2023,Malawi,103
2023,Malaysia,97639
2023,Maldives,1252
2023,Mali,27
2023,Malta,1178
2023,Martinique,31
2023,Mauritania,9
2023,Mauritius,43
2023,Mayotte,1
2023,Mexico,2833
2023,Micronesia,914
2023,Moldova,23
2023,Monaco,136
2023,Mongolia,4665
2023,Montenegro,76
2023,Montserrat,2
2023,Morocco,3558
2023,Mozambique,109
2023,Myanmar,6395
2023,Namibia,139
2023,Nauru,13
2023,Nepal,3646
2023,Netherlands,31956
2023,New Caledonia,33
2023,New Zealand,29272
2023,Nicaragua,89
2023,Niger,14
2023,Nigeria,3301
2023,Niue,6
2023,Norfolk Island,9
2023,North Korea,3
2023,Northern Mariana Islands,2588
2023,Norway,20000
2023,Oman,2695
2023,Pakistan,3109
2023,Palau,1346
2023,Palestine State,59
2023,Panama,22
2023,Papua New Guinea,6243
2023,Paraguay,130
2023,Peru,737
2023,Poland,9923
2023,Portugal,4171
2023,Puerto Rico,40
2023,Qatar,10438
2023,Reunion,145
2023,Romania,4171
2023,Russian Federation,23104
2023,Rwanda,134
2023,Saint Barthelemy,1
2023,Saint Helena,8
2023,Saint Kitts And Nevis,95
2023,Saint Lucia,37
2023,Saint Martin French Part,8
2023,Saint Pierre And Miquelon,1
2023,Saint Vincent And The Grenadines,25
2023,Samoa,120
2023,San Marino,30
2023,Sao Tome And Principe,9
2023,Saudi Arabia,19311
2023,Senegal,121
2023,Serbia,1101
2023,Seychelles,91
2023,Sierra Leone,23
2023,Singapore,149230
2023,Sint Maarten Dutch Part,38
2023,Slovakia,2177
2023,Slovenia,1318
2023,Solomon Islands,29
2023,Somalia,13
2023,South Africa,4525
2023,South Georgia And The South Sandwich Islands,2
2023,South Korea,1450858
2023,Spain,34063
2023,Sri Lanka,2779
2023,Sudan,7
2023,Suriname,42
2023,Sweden,16789
2023,Switzerland,24048
2023,Syria,10
2023,Taiwan,194851
2023,Tajikistan,28
2023,Tanzania,25
